Activity ID,Activity Name,Description,Begin Timestamp,Begin Timestamp (Raw Milliseconds),End Timestamp,End Timestamp (Raw Milliseconds),Device,Activity Parent,Activity Type,Event Type,Activity Time Zone,Max. Elevation,Max. Elevation (Raw),Begin Latitude (Decimal Degrees Raw),Begin Longitude (Decimal Degrees Raw),End Latitude (Decimal Degrees Raw),End Longitude (Decimal Degrees Raw),Average Moving Speed,Average Moving Speed (Raw),Max. Heart Rate (bpm),Average Heart Rate (bpm),Max. Speed,Max. Speed (Raw),Calories,Calories (Raw),Duration (h:m:s),Duration (Raw Seconds),Moving Duration (h:m:s),Moving Duration (Raw Seconds),Average Speed,Average Speed (Raw),Distance,Distance (Raw),Max. Heart Rate (bpm),Min. Elevation,Min. Elevation (Raw),Elevation Gain,Elevation Gain (Raw),Elevation Loss,Elevation Loss (Raw)
828572344,Piscataway Running,,"Thu, Jul 9, 2015 5:51 PM",1.43648E+12,"Thu, Jul 9, 2015 6:31 PM",1.43648E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),138 Feet,137.6312336,,,,,11:06,11.09626138,207,166,6:34,6.561819864,347,347.01505,0:39:40,2380,0:37:40,2260,11:41 Minutes per Mile,11.68097544,3.39 Miles,3.394538396,107,138 Feet,137.6312336,145 Feet,145.0787402,161 Feet,160.8595801
826987879,South Plainfield Running,,"Wed, Jul 8, 2015 6:17 AM",1.43635E+12,"Wed, Jul 8, 2015 6:53 AM",1.43635E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),158 Feet,158.1364829,,,,,10:01,10.0212903,181,150,6:26,6.428737392,382,382.0984148,0:35:47,2147.04,0:33:09,1989,10:49 Minutes per Mile,10.8175521,3.31 Miles,3.307956534,91,158 Feet,158.1364829,203 Feet,203.4448819,238 Feet,238.1233596
824063075,South Plainfield Running,,"Sun, Jul 5, 2015 7:25 AM",1.4361E+12,"Sun, Jul 5, 2015 8:01 AM",1.4361E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),122 Feet,121.8832021,,,,,9:51,9.846741141,176,152,6:51,6.847703194,424,424.1029876,0:36:27,2186.57,0:34:23,2063,10:26 Minutes per Mile,10.43654327,3.49 Miles,3.491851338,95,122 Feet,121.8832021,155 Feet,154.5275591,148 Feet,148.2283465
821045706,Piscataway Running,,"Wed, Jul 1, 2015 5:44 PM",1.43579E+12,"Wed, Jul 1, 2015 6:22 PM",1.43579E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),149 Feet,148.687664,,,,,11:10,11.17379263,173,149,7:09,7.14210045,373,373.0292457,0:38:22,2301.7,0:36:57,2217,11:36 Minutes per Mile,11.60068494,3.31 Miles,3.306844279,95,149 Feet,148.687664,151 Feet,151.3779528,167 Feet,167.1587927
821045674,South Plainfield Running,,"Tue, Jun 30, 2015 6:20 AM",1.43566E+12,"Tue, Jun 30, 2015 7:01 AM",1.43566E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),204 Feet,203.8713911,,,,,10:24,10.39878959,183,156,7:51,7.852852699,476,475.8927165,0:41:05,2465,0:38:54,2334,10:59 Minutes per Mile,10.97896542,3.74 Miles,3.740822347,106,204 Feet,203.8713911,279 Feet,279.1338583,380 Feet,380.0524934
816223751,South Plainfield Running,,"Sat, Jun 27, 2015 7:43 AM",1.43541E+12,"Sat, Jun 27, 2015 8:20 AM",1.43541E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),269 Feet,268.5367454,,,,,10:28,10.46497979,175,154,6:35,6.588899795,439,438.900053,0:36:57,2217.28,0:36:31,2191,10:35 Minutes per Mile,10.59050223,3.49 Miles,3.489415563,101,269 Feet,268.5367454,222 Feet,222.3425197,314 Feet,313.812336
816221921,3.25mi w/ Office Team,,"Wed, Jun 24, 2015 5:45 PM",1.43518E+12,"Wed, Jun 24, 2015 6:22 PM",1.43518E+12,Unknown 0.0.0.0,Running,Street Running,Training,(GMT-05:00) Eastern Time (US & Canada),,,,,,,11:23,11.38461103,,,,,542,542.0021861,0:37:00,2220,0:37:00,2220,11:23 Minutes per Mile,11.38461103,3.25 Miles,3.250001243,,,,,,,
816223713,South Plainfield Running,,"Sun, Jun 21, 2015 7:27 AM",1.43489E+12,"Sun, Jun 21, 2015 8:09 AM",1.43489E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),125 Feet,125.0328084,,,,,10:41,10.67679741,209,169,7:04,7.067062304,457,457.0383912,0:41:55,2515.23,0:40:17,2417,11:07 Minutes per Mile,11.11071624,3.77 Miles,3.772978307,96,125 Feet,125.0328084,298 Feet,298.0314961,270 Feet,269.652231
808409470,Piscataway Running,,"Thu, Jun 18, 2015 5:43 PM",1.43466E+12,"Thu, Jun 18, 2015 6:23 PM",1.43467E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),144 Feet,143.9632546,,,,,11:31,11.51545808,170,149,1:28,1.467338033,427,426.9669357,0:39:55,2395,0:37:26,2246,11:53 Minutes per Mile,11.88476282,3.25 Miles,3.250703392,90,144 Feet,143.9632546,287 Feet,287.007874,189 Feet,189.2388451
805707592,South Plainfield Running,Something wrong with HR monitor,"Tue, Jun 16, 2015 6:10 AM",1.43445E+12,"Tue, Jun 16, 2015 6:47 AM",1.43445E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),120 Feet,120.308399,,,,,10:23,10.38530705,207,172,7:21,7.344869031,406,405.9646493,0:37:36,2255.86,0:36:04,2164,10:50 Minutes per Mile,10.8261547,3.47 Miles,3.472856021,108,120 Feet,120.308399,117 Feet,116.6994751,118 Feet,118.2742782
803598305,South Plainfield Running,,"Sun, Jun 14, 2015 7:19 AM",1.43428E+12,"Sun, Jun 14, 2015 7:58 AM",1.43428E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),163 Feet,162.8937008,,,,,11:02,11.02858333,194,155,7:08,7.130357538,447,447.0145727,0:38:43,2322.68,0:38:07,2287,11:12 Minutes per Mile,11.20064274,3.46 Miles,3.456172204,105,163 Feet,162.8937008,224 Feet,223.9173228,158 Feet,157.7099738
803598262,Piscataway Running,,"Wed, Jun 10, 2015 5:45 PM",1.43397E+12,"Wed, Jun 10, 2015 6:29 PM",1.43398E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),122 Feet,121.8832021,,,,,12:13,12.21964364,164,143,7:41,7.677869323,413,412.8858573,0:44:11,2650.81,0:41:07,2467,13:08 Minutes per Mile,13.13009873,3.36 Miles,3.364799571,90,122 Feet,121.8832021,178 Feet,178.1824147,147 Feet,146.6535433
803598210,South Plainfield Running,,"Sun, Jun 7, 2015 7:22 AM",1.43368E+12,"Sun, Jun 7, 2015 8:04 AM",1.43368E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),130 Feet,129.7572178,,,,,10:44,10.72566105,173,156,8:18,8.308280712,491,490.9284443,0:41:26,2486,0:40:26,2426,10:55 Minutes per Mile,10.91453171,3.77 Miles,3.769778245,101,130 Feet,129.7572178,199 Feet,198.687664,186 Feet,186.0892388
803598168,Piscataway Running,,"Wed, Jun 3, 2015 5:41 PM",1.43337E+12,"Wed, Jun 3, 2015 6:19 PM",1.43337E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),112 Feet,112.4015748,,,,,11:02,11.02508551,174,152,9:19,9.318847308,438,437.9454036,0:38:42,2322,0:36:32,2192,11:41 Minutes per Mile,11.67683303,3.31 Miles,3.313654508,76,112 Feet,112.4015748,132 Feet,132.480315,104 Feet,104.0682415
762721205,3.4mi Easy,"R/W=2:00/0:30
Enjoyed the nice temperature.","Sat, May 2, 2015 7:28 AM",1.43057E+12,"Sat, May 2, 2015 8:06 AM",1.43057E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),133 Feet,132.9068241,,,,,10:31,10.51178499,175,157,7:57,7.946228106,449,448.9238715,0:37:47,2267,0:36:26,2186,10:54 Minutes per Mile,10.90124037,3.47 Miles,3.465952587,106,133 Feet,132.9068241,115 Feet,115.1246719,139 Feet,138.7795276
762721167,3.3mi w/ Office Team,"R/W=2:00/0:30
Not the best run, lots of walking. Temperatures are going up...","Wed, Apr 29, 2015 5:43 PM",1.43034E+12,"Wed, Apr 29, 2015 6:22 PM",1.43035E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),92 Feet,91.86351706,,,,,12:02,12.02785086,181,165,5:03,5.047530517,486,485.916535,0:39:38,2378,0:39:34,2374,12:03 Minutes per Mile,12.05627388,3.29 Miles,3.289588801,93,92 Feet,91.86351706,24 Feet,24.01574803,20 Feet,20.01312336
756201086,3mi Very Easy,,"Sat, Apr 25, 2015 7:14 AM",1.42996E+12,"Sat, Apr 25, 2015 7:48 AM",1.42996E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),194 Feet,194.4225722,,,,,11:04,11.06422556,175,157,7:08,7.139404021,388,388.0649734,0:33:33,2013.37,0:33:29,2009,11:05 Minutes per Mile,11.08829259,3.03 Miles,3.026270331,107,194 Feet,194.4225722,932 Feet,931.988189,708 Feet,708.0708661
729167308,Piscataway Running,,"Wed, Mar 25, 2015 5:40 PM",1.42732E+12,"Wed, Mar 25, 2015 6:20 PM",1.42732E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Uncategorized,(GMT-05:00) Eastern Time (US & Canada),101 Feet,101.3779528,,,,,10:56,10.94122464,171,153,6:59,6.984396141,445,445.105274,0:39:17,2356.58,0:36:59,2219,11:37 Minutes per Mile,11.61959043,3.38 Miles,3.380184721,117,101 Feet,101.3779528,224 Feet,223.9173228,233 Feet,233.3989501
726032957,3.2mi Easy,"R/W=2.0/0.5 
Windy...","Sun, Mar 22, 2015 7:44 AM",1.42702E+12,"Sun, Mar 22, 2015 8:19 AM",1.42703E+12,Garmin Forerunner 405CX 2.40.0.0,Any Activity Type,Running,Training,(GMT-05:00) Eastern Time (US & Canada),122 Feet,121.8832021,,,,,10:44,10.73655698,180,159,6:14,6.241062941,430,430.0695462,0:35:17,2116.59,0:34:03,2043,11:07 Minutes per Mile,11.12329375,3.17 Miles,3.171410214,106,122 Feet,121.8832021,54 Feet,53.60892388,39 Feet,39.43569554
